num_genomes,tool,walltime,cputime,max_rss,avg_rss
1,diamond_fast,54.64426076889038,3589.4060000000004,8286456.64,0.0
1,diamond_sensitive,678.0295465040207,41530.8166,9162113.44,0.0
1,"sourmash,k=11",42.92333684444427,37.5614,641562.0,0.0
1,"sourmash,k=15",43.78808349132538,37.647200000000005,634015.92,0.0
2,diamond_fast,54.28173065662384,3776.9674,8241462.32,0.0
2,diamond_sensitive,683.9065935707092,41484.222799999996,9242632.56,0.0
2,"sourmash,k=11",26.487770280838014,40.3,809853.44,0.0
2,"sourmash,k=15",25.681211290359496,37.7264,795177.12,0.0
4,diamond_fast,54.34783868312836,3763.7976,8224477.76,0.0
4,diamond_sensitive,690.3835262823105,42049.4058,9276957.52,0.0
4,"sourmash,k=11",31.19008548259735,44.6988,1089153.44,0.0
4,"sourmash,k=15",30.015672101974488,43.533,1056588.16,0.0
8,diamond_fast,55.83252353668213,3472.7944,8081724.48,0.0
8,diamond_sensitive,692.0724941205979,41866.4238,9243939.36,0.0
8,"sourmash,k=11",35.44339369773865,49.1262,1344655.84,0.0
8,"sourmash,k=15",33.42619924545288,47.1296,1263206.0,0.0
16,diamond_fast,56.09815201282501,3428.4814,7976913.52,0.0
16,diamond_sensitive,698.3021547794342,42284.3546,9259308.24,0.0
16,"sourmash,k=11",41.1285512304306,54.6808,1689675.04,0.0
16,"sourmash,k=15",37.8450421333313,50.0554,1540932.8,0.0
32,diamond_fast,55.44587613582611,3344.4103999999998,7942557.68,0.0
32,diamond_sensitive,709.8202296829223,42732.707599999994,9276913.28,0.0
32,"sourmash,k=11",46.15046290397644,60.9906,2002785.28,0.0
32,"sourmash,k=15",41.80743744850159,55.026,1777930.8,0.0
64,diamond_fast,56.85687565803528,3492.6344,7974860.72,0.0
64,diamond_sensitive,723.3901821994782,43562.935,9305382.16,0.0
64,"sourmash,k=11",51.63003987789154,65.5214,2338741.76,0.0
64,"sourmash,k=15",45.70427669048309,59.9574,2031110.8,0.0
128,diamond_fast,57.15132112503052,3426.6874,7920160.48,0.0
128,diamond_sensitive,732.8290993118286,43854.1158,9323526.88,0.0
128,"sourmash,k=11",57.45291591644287,71.17699999999999,2735545.84,0.0
128,"sourmash,k=15",50.54926642894745,64.977,2318909.84,0.0
256,diamond_fast,56.72793300628662,3504.8078000000005,7905387.76,0.0
256,diamond_sensitive,740.6499732112884,43318.2496,9290090.32,0.0
256,"sourmash,k=11",61.70238166809082,74.374,3035855.12,0.0
256,"sourmash,k=15",53.20949063777923,66.4984,2515508.08,0.0
512,diamond_fast,56.122435154914854,3420.7776,7911522.96,0.0
512,diamond_sensitive,742.9840863704682,43621.9804,9323877.2,0.0
512,"sourmash,k=11",65.06053238391877,79.74119999999999,3254335.36,0.0
512,"sourmash,k=15",55.64412403583527,69.4406,2662528.4,0.0
1024,diamond_fast,56.1043652677536,3575.1606,7903632.88,0.0
1024,diamond_sensitive,735.048623714447,43656.19,9317826.08,0.0
1024,"sourmash,k=11",67.9004737854004,82.9276,3476483.36,0.0
1024,"sourmash,k=15",57.59458638191223,71.7956,2796743.04,0.0
