num_genomes,tool,purity,completeness,kendalltau,pearsonr_common,pearsonr_all,wt_purity,wt_completeness,kl_div_common_gt_to_pred,kl_div_common_pred_to_gt,bray_curtis
1,diamond_fast,0.07623356215140277,0.00014879997750116985,3.172065784643304e-17,0.13302536435628334,0.13657438016026066,0.046969450495374605,0.046969450495374626,0.16676088991563937,0.1171853088265851,0.04114574478351739
1,diamond_sensitive,0.0798727575666679,0.00014879997750116985,3.172065784643304e-17,0.1357049661293509,0.14043560571204206,0.04996696866400912,0.04996696866400918,0.1674261994050557,0.11901301885142128,0.041702772632546216
1,"sourmash,k=11",0.0425678924728275,0.023138605742778085,7.769942602917248e-17,0.1986122587536885,0.18140831106262545,0.03688057666769089,0.03688057666769085,0.02562135829071613,0.024963749584853496,0.015916122349233473
1,"sourmash,k=15",0.034915602409806366,0.019482936443768244,1.1214946133455537e-16,0.21763372046769944,0.18666710933561123,0.042446789155608275,0.04244678915560826,0.022212372809652006,0.021432985467525034,0.014599548813221602
2,diamond_fast,0.06396473696717939,0.005915715161473357,1.1102230246251565e-16,0.16839341609808217,0.17043555862442308,0.12684026478238958,0.12684026478238958,0.6088125011811882,0.6416194952695727,0.1211516068086908
2,diamond_sensitive,0.06659643373057197,0.005863425606803492,1.1102230246251565e-16,0.1642024339500987,0.16711679749160277,0.12600659109400605,0.12600659109400605,0.6082133398294661,0.6398395429393811,0.12017039005747839
2,"sourmash,k=11",0.022022085689852738,0.05051131857543796,4.485978453382214e-17,0.19152563060987698,0.15812526224727994,0.04390782859105848,0.04390782859105843,0.11651077830916476,0.23594752229954954,0.056461693581915544
2,"sourmash,k=15",0.01768613847010698,0.05218548821948228,7.769942602917248e-17,0.1974545914175355,0.16232802471541882,0.047090809721571224,0.047090809721571175,0.10806507711131481,0.21380476995428596,0.0525290052513706
4,diamond_fast,0.039183611410791935,0.005665871656508242,5.49417910395304e-17,0.14241904120873541,0.14169880963619524,0.10195924034503051,0.1019592403450305,0.5737044577436393,0.5065948935894838,0.10030614008944319
4,diamond_sensitive,0.041241165802358364,0.005626791860579546,5.49417910395304e-17,0.13939893318372412,0.13979576709502117,0.10171957949073687,0.10171957949073689,0.576870219063344,0.516077360250184,0.09982366875506513
4,"sourmash,k=11",0.009092940555782988,0.05334216997653814,4.485978453382214e-17,0.12935206889631132,0.09800358308625734,0.041873549872888056,0.041873549872888126,0.13100719606289077,0.23889637812068418,0.060574766538496944
4,"sourmash,k=15",0.006984325087381567,0.055374839522649176,7.092954723563637e-17,0.12662693519938922,0.09557634928697091,0.04429401976596373,0.04429401976596367,0.13056234219853494,0.24488377382991058,0.06120501046477916
8,diamond_fast,0.03450201953480274,0.0053145161981980465,6.344131569286608e-17,0.12475510044585972,0.12532266058276156,0.09331221678374782,0.09331221678374767,0.4785694757095302,0.40776811312345945,0.0919434101263223
8,diamond_sensitive,0.036564373141987926,0.005269757277671379,8.392497208503151e-17,0.12367037069083552,0.12366285556292614,0.0927420486808195,0.09274204868081946,0.47863629181678274,0.4069813313097595,0.09134297792269312
8,"sourmash,k=11",0.0060897807686846545,0.04486713904394421,1.1214946133455537e-16,0.12926182296960514,0.10023558845760114,0.044084626018764374,0.04408462601876438,0.10839617042889498,0.1485799228780052,0.05536545664550256
8,"sourmash,k=15",0.0034226142172383237,0.044299160599531776,5.49417910395304e-17,0.12283581031516087,0.09636772955493074,0.04323969539018623,0.043239695390186156,0.1015210103787928,0.14109662706644857,0.05196511275110438
