size,tool,purity,completeness,weighted_jaccard,kendalltau,pearsonr_common,pearsonr_all,wt_purity,wt_completeness,kl_div_common_gt_to_pred,kl_div_common_pred_to_gt,bray_curtis,completeness_top_95
0.0,diamond_fast,0.8911732073373219,0.9924697700341173,0.6353494925619886,0.10793589808968963,0.9795450728294471,0.8645165485277212,0.9810299148151993,0.999863227812124,0.047421762111335634,0.039614732558975504,0.09232642323092577,1.0
0.0,"sourmash,k=11",0.9796880745991818,0.6141810024589421,0.6433675928502977,0.09193117229144446,0.9954107643115752,0.9034668825662557,0.9804972484635299,0.9065236835457038,0.013412313959759507,0.018753531995875324,0.04275342495684494,0.8377135225736431
0.0,"sourmash,k=15",0.9919352254960311,0.5953861828622171,0.642481413721754,0.09037904960104545,0.9950497825200468,0.9045286247163661,0.9925138111794819,0.9001079532017205,0.01346807728024831,0.018518135102083937,0.04324165076694888,0.8235944866218593
0.01,diamond_fast,0.8907252397602259,0.9922522880363831,0.6354417160669257,0.1077039813001193,0.9805729026909389,0.8667682918171945,0.9804782112483686,0.9998610038110839,0.04767962936197476,0.03973712929323554,0.09275147344329193,1.0
0.01,"sourmash,k=11",0.9755104801144523,0.6073831946803249,0.642362942851945,0.09076789297837771,0.9954046711464742,0.9034922625589263,0.9771279130481652,0.9041683580140639,0.013218571580501532,0.018395140258749113,0.04237104061520878,0.8330105022466417
0.01,"sourmash,k=15",0.991141657885443,0.5748445392394042,0.6323696507516149,0.0918076935139173,0.9940223241121587,0.9006122071359233,0.991893059551293,0.891221376412838,0.014486935619079192,0.019741310964589292,0.04575459614727953,0.8050291736672281
0.02,diamond_fast,0.8914888895409231,0.9922239989333549,0.6354316259456444,0.10852684044030884,0.9806029108536699,0.8669278915146479,0.9813356768099138,0.9998568698220877,0.048137345586925666,0.04005772208618876,0.09325931740480153,1.0
0.02,"sourmash,k=11",0.973828332003947,0.5939819959995803,0.6348788587323965,0.09326797143385603,0.9950085875068552,0.9004530857577012,0.9761574575030668,0.8982380336693729,0.01379489660407631,0.01916381514404552,0.04369923365582256,0.8201173187754608
0.02,"sourmash,k=15",0.9914247759605327,0.5483697842269472,0.6155957943930515,0.08221757034571238,0.9930119411276557,0.893172082828244,0.9914099813573855,0.8780641707132008,0.01627436131631942,0.022295956372022887,0.04884956668289643,0.7774649958500173
0.03,diamond_fast,0.8927246675805359,0.9919819222434708,0.6354766047745619,0.10597220698219098,0.980895349780335,0.8674378634393631,0.9814350656240084,0.9998505685752498,0.04862924553934557,0.04035903583427913,0.09383249071581219,1.0
0.03,"sourmash,k=11",0.9719621208493405,0.5770318521453778,0.6247832857435979,0.08836669182884357,0.993929809841595,0.8955214675591291,0.9737544179170502,0.891130336536499,0.014555348870085633,0.020045146355587615,0.04565411990188412,0.8042301598198335
0.03,"sourmash,k=15",0.9913065912037436,0.5172626580279861,0.5950653605557249,0.08495407364622062,0.9911375073442397,0.8820565934719886,0.9924310729522078,0.861158208370549,0.018519790220868883,0.025452924635667104,0.05240367295488513,0.7432318124019692
0.04,diamond_fast,0.8952418518471477,0.9920349124898175,0.6353159089247746,0.11082350868102903,0.9808765036559973,0.8674268743156119,0.983064379381688,0.9998505847824865,0.04898908480336773,0.04063101174969331,0.09426290590437185,1.0
0.04,"sourmash,k=11",0.9709534784019656,0.5578926785804387,0.6121413644292164,0.09081081903814821,0.9931040091745437,0.8890513649149115,0.9724610618285624,0.8816865317224749,0.01604423557461067,0.022320821238262813,0.048144309546076486,0.7848640433992119
0.04,"sourmash,k=15",0.991758095103681,0.48426418001137744,0.570710636902715,0.07855884553691464,0.989259737450064,0.8694155286732214,0.9922337408661933,0.8402744744739121,0.022047123252385715,0.030696748905367215,0.058149121845736326,0.7047739951072176
0.05,diamond_fast,0.8979176494340974,0.9911843756642515,0.6350326718146894,0.11005261109861823,0.9806602596991449,0.8671967044417918,0.9836746533032457,0.999838174873135,0.04947703238656356,0.04102626912459621,0.09473694964672383,1.0
0.05,"sourmash,k=11",0.9716529990659335,0.5348808452451963,0.5973064457904681,0.08432683040083443,0.9923864139798771,0.8808615927760562,0.9726589615602649,0.8698028476049404,0.01771821828231004,0.024742354538273857,0.050954041927869925,0.7607348123709848
0.05,"sourmash,k=15",0.9918578506039551,0.4469451439924964,0.5429541651752,0.07210111456930429,0.9864020631587347,0.8517585321634366,0.9919323607573731,0.814444900510766,0.02636897081746861,0.037106551673253566,0.06423602866559519,0.6595572087581216
