size,tool,walltime,cputime,max_rss,avg_rss
0.0,diamond_fast,,,,
0.0,"sourmash,k=11",,,,
0.0,"sourmash,k=15",,,,
0.01,diamond_fast,,,,
0.01,"sourmash,k=11",,,,
0.01,"sourmash,k=15",,,,
0.02,diamond_fast,,,,
0.02,"sourmash,k=11",,,,
0.02,"sourmash,k=15",,,,
0.03,diamond_fast,,,,
0.03,"sourmash,k=11",,,,
0.03,"sourmash,k=15",,,,
0.04,diamond_fast,,,,
0.04,"sourmash,k=11",,,,
0.04,"sourmash,k=15",,,,
0.05,diamond_fast,,,,
0.05,"sourmash,k=11",,,,
0.05,"sourmash,k=15",,,,
