size,tool,purity,completeness,kendalltau,pearsonr_common,pearsonr_all,wt_purity,wt_completeness,kl_div_common_gt_to_pred,kl_div_common_pred_to_gt,bray_curtis
0.0,diamond_fast,0.8911732073373219,0.9924697700341173,0.9999999999999999,0.3556156784127691,0.36784146200041606,0.9807943614145898,0.9999821028604399,1.0916610910036324,0.9468017592055347,0.49013442997090695
0.0,"sourmash,k=11",0.9940481489858957,0.597873439410874,1.0,0.7788128078286481,0.7745255996452414,0.9983744875854407,0.9116358583815491,0.28382195636640734,0.3246716128443849,0.2771742350607727
0.0,"sourmash,k=15",0.9969641930781015,0.5904561310243984,1.0,0.7877521340131783,0.7824926667582878,0.9990537936919014,0.9105746642128517,0.27771187405266123,0.3181637363037259,0.2740529461143517
0.01,diamond_fast,0.8907252397602259,0.9922522880363831,0.9999999999999999,0.3603763957500236,0.37298647534182544,0.9808977054261777,0.9999819956683776,1.0831812830131995,0.9456636597938146,0.48966048016680497
0.01,"sourmash,k=11",0.9912601358892295,0.5898022538728783,1.0,0.7944413890103432,0.7891650011533538,0.9976887914546815,0.9134391135025619,0.26473842533021547,0.3029963609710045,0.2674624292242859
0.01,"sourmash,k=15",0.9965780358671827,0.5694967357872422,1.0,0.7979118457355464,0.793117153381203,0.9989024624306446,0.9063257708183591,0.26310943043044077,0.2989503524916985,0.26693229365528437
0.02,diamond_fast,0.8914888895409231,0.9922239989333549,1.0,0.35739824314955393,0.36977749019553413,0.9811647242519318,0.9999810327536248,1.08720741446709,0.9459548825683625,0.4901540840605804
0.02,"sourmash,k=11",0.9898568968574188,0.5757889489227851,1.0,0.8026636362311464,0.7972028223667131,0.9972948123231614,0.9106313339304305,0.2548307144136711,0.28938721112960947,0.26186698754293203
0.02,"sourmash,k=15",0.9968013470235318,0.54302740952062,1.0,0.8003006072498876,0.7964793834958293,0.9989399973563605,0.8971680504851921,0.25634133622672406,0.2913944882175851,0.2633825334607327
0.03,diamond_fast,0.8927246675805359,0.9919819222434708,0.9999999999999999,0.3577595896724877,0.37007079629789164,0.9816254035528406,0.9999799012791556,1.0933217839098075,0.9438212877023352,0.4902563780645898
0.03,"sourmash,k=11",0.9882684535265115,0.558530065290305,1.0,0.804511615608361,0.8004318882987753,0.9967555257831435,0.9064079397567967,0.24945974725071138,0.28068751269201386,0.25878494211713987
0.03,"sourmash,k=15",0.9967187101436674,0.5120876194092016,1.0,0.800732146464978,0.7984294604990049,0.9988374843328092,0.8852805669913787,0.2512836604780246,0.285567614672198,0.262078133321481
0.04,diamond_fast,0.8952418518471477,0.9920349124898175,1.0,0.3687943842502602,0.3810887618332401,0.9827716891703476,0.999980040465909,1.0791288244233053,0.9359640779956138,0.4875351855911249
0.04,"sourmash,k=11",0.9878500253548747,0.5384914788181584,1.0,0.8074685038406991,0.8034305699309718,0.9965050035948746,0.8991456692552668,0.24450575014280393,0.27560206209783866,0.2563753433150449
0.04,"sourmash,k=15",0.9969687648413549,0.4790416486719824,1.0,0.7958331509325279,0.7958057247468324,0.9987900795202321,0.8692764653600966,0.25020740159202254,0.2856172496693424,0.26226195683035886
0.05,diamond_fast,0.8979176494340974,0.9911843756642515,0.9999999999999999,0.36357748563262493,0.37591627127839194,0.9842014562366571,0.9999791291272686,1.0788133342607737,0.9429548964091592,0.48879426124667824
0.05,"sourmash,k=11",0.9869635788220169,0.5156593830062415,1.0,0.8037496245102905,0.8019274191931525,0.9960796548435231,0.890833868546581,0.24273694829785866,0.2724855209362241,0.2557746680475826
0.05,"sourmash,k=15",0.9968177693439664,0.4419933464153021,1.0,0.7913345008764571,0.7939774578362417,0.9987214284404902,0.8498762308097058,0.24919526894171323,0.28439428949736123,0.2622288386478016
