num_novel_genomes,tool,purity,completeness,kendalltau,pearsonr_common,pearsonr_all,wt_purity,wt_completeness,kl_div_common_gt_to_pred,kl_div_common_pred_to_gt,bray_curtis
0,diamond_fast,0.012019855833189784,0.0025878986085663934,1.1390647892519134e-16,0.09693916934424994,0.09730655267461281,0.005319705271335409,5.320887081443938e-06,0.28335026096074684,0.24857596289053793,0.060632915138998565
0,"sourmash,k=11",0.001516397938056543,0.029851880366695213,0.0,0.06798750932337758,0.06646968502424401,0.0005383318493972461,0.020977788322338712,0.08169116523481754,0.09466804129395663,0.047286281321908714
0,"sourmash,k=15",0.0010079270276717768,0.03429076082877178,1.0188105198175002e-16,0.06854152107759161,0.06650174652794243,0.0005669846219344787,0.024402388498640664,0.078264536933032,0.09129169359282378,0.046612762045735855
2,diamond_fast,0.01188559446224956,0.0028340307976037022,0.0,0.08971344117573225,0.09023128948702518,0.005826333286580442,5.817557678164853e-06,0.2757950011058325,0.23895118546460367,0.058925999223310176
2,"sourmash,k=11",0.0017719618019486447,0.029876201198786208,0.0,0.06759574098092148,0.06665726690139516,0.000672905732309593,0.022061595160689434,0.08161781631026803,0.09498829296652361,0.04713273432638013
2,"sourmash,k=15",0.0010258962781166947,0.033696872438135794,1.0188105198175002e-16,0.06830845519401636,0.0665899014602337,0.0005270916521044587,0.02450934797265043,0.07832739293438307,0.09193720608026813,0.04663629294606883
4,diamond_fast,0.012242794208542764,0.002789866294811335,1.1102230246251565e-16,0.09441343418503412,0.09482650748031525,0.004911629505336437,5.978586354464451e-06,0.27851368874948956,0.24753147294660494,0.05955898249823931
4,"sourmash,k=11",0.0019667621243762185,0.029592006303517403,1.0188105198175002e-16,0.06852045156353878,0.0672536800986495,0.0006276825602018233,0.021301685830018964,0.08255570097484217,0.09577021200073187,0.047784663963612466
4,"sourmash,k=15",0.0008378467882304724,0.03427465118025074,5.094052599087501e-17,0.06820567718753463,0.06606497165830869,0.0004687273409955357,0.024974997840223827,0.07871713655511973,0.09148762818794592,0.046955297806903176
8,diamond_fast,0.01172692779871166,0.002734661902195743,1.1390647892519134e-16,0.09238730677885967,0.09321750610163912,0.006704394567372158,5.438587739773315e-06,0.2879076121429673,0.24188795664651955,0.05987396556409345
8,"sourmash,k=11",0.0018859135332642404,0.03007002416297244,7.204078273071459e-17,0.06908594301573755,0.06709833155009984,0.0006589799940005366,0.021058698512416554,0.08238793416603403,0.09500705229013945,0.04779202926660942
8,"sourmash,k=15",0.0009794508240241423,0.03432860329688677,5.094052599087501e-17,0.06916558389841346,0.067123702460096,0.0005560234914343673,0.025166746441595556,0.07838794184442989,0.09215901008045482,0.04627158698225362
16,diamond_fast,0.011782516043142021,0.002589305688204247,1.2477829590662821e-16,0.09031659118252656,0.09092611828116644,0.004980501610839116,5.532989169823172e-06,0.2715461249243325,0.24454639893289226,0.05881413738488639
16,"sourmash,k=11",0.0019304146663195684,0.031459291590906324,1.0188105198175002e-16,0.067783382581838,0.06659816371467409,0.0005931993755647469,0.021835862723233113,0.08184404202112003,0.09502078637687764,0.04693206968800796
16,"sourmash,k=15",0.0009560205705558318,0.03384135874096834,8.823157918047844e-17,0.06858439439827521,0.06648329809559364,0.0005743135523117919,0.024715748934849867,0.07894708887358079,0.09254503535812526,0.0465764685834247
32,diamond_fast,0.012024000932179726,0.00264292128892742,1.1102230246251565e-16,0.09265061114560987,0.09360300427651476,0.005489687595633233,5.903168715039715e-06,0.28153702280697945,0.247790116062332,0.060891041623851734
32,"sourmash,k=11",0.0020424764388180068,0.029171557789077384,7.204078273071459e-17,0.06908874985360337,0.06762248483078452,0.0006400053076396063,0.02123241810080019,0.08322507355670979,0.09643459191833309,0.048091616690864564
32,"sourmash,k=15",0.0009579706711494659,0.03328068046963242,1.0188105198175002e-16,0.06908568620287893,0.0672150205982844,0.0004756754060037228,0.02441767280906406,0.07965703993842593,0.09262678079856389,0.04672234949949754
