num_novel_genomes,tool,purity,completeness,kendalltau,pearsonr_common,pearsonr_all,wt_purity,wt_completeness,kl_div_common_gt_to_pred,kl_div_common_pred_to_gt,bray_curtis
0,diamond_fast,0.8893651524939244,0.9928935556553198,1.0,0.3555352756855589,0.36792063326128627,0.9807701161689755,0.9999831355385508,1.096446616605267,0.9487274814244703,0.49265068427672504
0,"sourmash,k=11",0.9913210322439914,0.5901544771233662,1.0,0.7914753260209615,0.785694790170783,0.9976778466526813,0.9134220979919565,0.2681209759550879,0.3072984285549349,0.2705378528822397
0,"sourmash,k=15",0.9965866412972144,0.5684646223954359,1.0,0.7971520683197089,0.7914069926209353,0.9988983677293536,0.9051412666253414,0.2645027667566696,0.3034996397210915,0.26984677062318274
2,diamond_fast,0.8897393171744469,0.9930022576711377,1.0,0.3500988068320502,0.36191235117159676,0.980039666636452,0.9999839037159418,1.1036836118314297,0.9521546439669578,0.49330064465349255
2,"sourmash,k=11",0.9915029464882446,0.5906914218154435,1.0,0.7930925609610903,0.7871935431410819,0.9976879488198414,0.9138619827253193,0.2681754704801649,0.30756930536651084,0.2706423353303279
2,"sourmash,k=15",0.9966726171541044,0.5681823350914647,1.0,0.7978618843316381,0.7923319490026256,0.9989380295808259,0.9057978486302594,0.26396467853736716,0.30307720044202985,0.26917624852771416
4,diamond_fast,0.8893061941674046,0.992801340468087,1.0,0.35299651745869604,0.365800286711172,0.9813413658218513,0.9999834293338651,1.097281808483014,0.9516274709349757,0.4926759365170856
4,"sourmash,k=11",0.9912011699589138,0.5901748802664495,1.0,0.792832075970899,0.786950889542297,0.9976596071394865,0.9133468197550372,0.26817083924458635,0.30760126814713473,0.27036515172391107
4,"sourmash,k=15",0.9966013472123251,0.5687251525174017,1.0,0.7967338973642979,0.7913128524528545,0.9989197583716596,0.9057370365814773,0.2650822262274799,0.30411560808709553,0.2696179757152372
8,diamond_fast,0.8893275842263932,0.992757142893469,1.0,0.35105490052597155,0.36300350100354617,0.9801510129934032,0.9999837400311,1.1049751566560704,0.9452560870286588,0.4930097264371513
8,"sourmash,k=11",0.991102548388333,0.5892170529268469,1.0,0.7923452169539449,0.7868027149353439,0.997614522279273,0.913517662919889,0.2674043474036911,0.3061001001184844,0.27024060779256154
8,"sourmash,k=15",0.9964330593963954,0.5691141715481961,1.0,0.7974113239722139,0.7916912980538499,0.9988652998041353,0.905463079573655,0.2650305364826255,0.3045655006263539,0.2701352250011425
16,diamond_fast,0.8892800664656717,0.9928382269309195,1.0,0.34873752381356715,0.36098197939876725,0.9809383239586502,0.9999838508028699,1.1033468462356046,0.9520762542286272,0.4933831157439591
16,"sourmash,k=11",0.9912356354569933,0.5902458780387267,1.0,0.7932631860140769,0.787373369336898,0.9976360142236533,0.9135495098362016,0.26752568949015487,0.3072362363187414,0.2702974786714703
16,"sourmash,k=15",0.9966374782191061,0.5688620307262333,1.0,0.7964227930570688,0.7909632082400725,0.9989070651947207,0.9058387446099381,0.264558081404868,0.30404654297231193,0.2695401558532845
32,diamond_fast,0.8897682986475607,0.9927806915573629,1.0,0.34845187260325383,0.3605264234522826,0.9809901350984193,0.9999831841126092,1.103779254153958,0.9502746387682885,0.4935893753905721
32,"sourmash,k=11",0.9913316578422753,0.5899545390373307,1.0,0.792077335754447,0.7865730815236429,0.9976932878387608,0.9137077398780278,0.2686881934221687,0.30796568384572065,0.2704793358826404
32,"sourmash,k=15",0.9965447120294675,0.5684925381653276,1.0,0.7974703085208995,0.7919328838161526,0.9989067865659917,0.9057335108017268,0.2647298802333169,0.30385613420497115,0.2694729277230269
