size,tool,purity,completeness,kendalltau,pearsonr_common,pearsonr_all,wt_purity,wt_completeness,kl_div_common_gt_to_pred,kl_div_common_pred_to_gt,bray_curtis
0.1,diamond_fast,0.8896571095799035,0.9870938001352932,1.0,0.31299900946678944,0.32754248149306325,0.9658349035626677,0.9997946109645087,1.0037445793665025,0.8896219551307613,0.4753627955093566
0.1,"sourmash,k=11",0.9911424983625955,0.3518759530889101,1.0,0.7503617314357254,0.7440895534885889,0.9950328518898918,0.6978880634121505,0.25213734384629594,0.30807905787405615,0.27137198833810094
0.1,"sourmash,k=15",0.9963400249336328,0.30964014028932973,1.0,0.7308396137914402,0.7299108882179752,0.9977095682207415,0.6563140498727865,0.25129974532414356,0.30604265225957034,0.2720023022536448
0.2,diamond_fast,0.8835020996293956,0.9904460453193287,1.0,0.3200745145267436,0.33472312377041424,0.9668556980115519,0.999913909141128,1.0480829566150043,0.9405080872369885,0.48143530555212416
0.2,"sourmash,k=11",0.990426672653969,0.4147978058942413,1.0,0.7688988053045596,0.7666767456919291,0.9953891396836867,0.7707666067266659,0.2559925362005062,0.314610461353745,0.2700237957917042
0.2,"sourmash,k=15",0.9963917110610468,0.3733875355497904,1.0,0.7569194294968895,0.7596486335568077,0.9979692550848652,0.738194168499623,0.2533944220107651,0.311655887778241,0.2695321501882379
0.4,diamond_fast,0.8762818020116417,0.9931206872161148,1.0,0.3255165641138424,0.3401854309653124,0.9679717920411817,0.9999632042843021,1.0824363090988607,0.9816123398921444,0.4852981553883127
0.4,"sourmash,k=11",0.9890585277083391,0.4735613941797307,1.0,0.777812272289802,0.7776079180835548,0.9954949314793297,0.8249844702832232,0.262001199613661,0.32178543592999626,0.2699922878622829
0.4,"sourmash,k=15",0.9961875641847968,0.43319959465282837,1.0,0.7707448516833432,0.7736429589610561,0.9980916140022568,0.797980331297114,0.2598118336129281,0.32034958209583797,0.26995135287544586
0.8,diamond_fast,0.8685592658768683,0.9951495051208887,1.0,0.32963283565746,0.3440514959753497,0.9664155398688323,0.9999822480473299,1.1042779161230731,1.0144006323397503,0.4874580170780492
0.8,"sourmash,k=11",0.9863099235490828,0.52756027415516,1.0,0.7879901682209985,0.7868784176897985,0.9952241425004213,0.8645555432236465,0.2653571097959243,0.32571848196352304,0.2684850713626849
0.8,"sourmash,k=15",0.9958213271891657,0.48913165461570346,1.0,0.7815642906651958,0.7829489348958183,0.9981847712919805,0.8423384219322797,0.2657407943148213,0.328398830595808,0.2702988842000474
1.6,diamond_fast,0.8595646280729643,0.9966401141214908,1.0,0.33177365359022387,0.34654011403573093,0.9652545713272846,0.9999898706023111,1.1274516636595262,1.0452374338637271,0.4902764830748314
1.6,"sourmash,k=11",0.9821829177240718,0.5766520548583896,1.0,0.7974156593593102,0.7945626977646982,0.9946564558551502,0.8936292771478241,0.2657814531778686,0.3265206575252744,0.2653763465485685
1.6,"sourmash,k=15",0.9953856693487724,0.5389943810373454,1.0,0.7903457802134496,0.7895932631013749,0.9982386453929043,0.8744606176206499,0.26954414080945,0.33332939657560473,0.2690881478228118
3.2,diamond_fast,0.8497348306328968,0.9978832905956705,1.0,0.3504504983194752,0.36476644309182377,0.9654879941436381,0.999990838038228,1.110253418648986,1.0292094420223912,0.4876063125319596
3.2,"sourmash,k=11",0.9733032012823231,0.6136877781961646,1.0,0.8061946941385316,0.8057030672511355,0.9929844119983273,0.9168243117722759,0.2654097687761845,0.3286077917835006,0.2621806687518669
3.2,"sourmash,k=15",0.9946387897297535,0.575352770704357,1.0,0.7906553424435293,0.793522442439224,0.9981319567955387,0.8993200834164463,0.2777389653198661,0.3462675362599955,0.2710061066469419
6.4,diamond_fast,0.833996944877826,0.9987392758401926,1.0,0.36395541776007617,0.3822575479084433,0.963195088409726,0.9999944878179384,1.1240400652534033,1.0740819990359702,0.4905226500919218
6.4,"sourmash,k=11",0.9626636328360996,0.6559535360130996,1.0,0.8266631463904931,0.8172170840767013,0.9911813795770869,0.9265703496291358,0.2607562721086057,0.33263138748116944,0.25267264912281023
6.4,"sourmash,k=15",0.9930768235836561,0.6148823627121506,1.0,0.8046435626398595,0.7994301270229093,0.9974473772191609,0.9086266513810313,0.27565049789819096,0.35301331924352436,0.263326976077417
