size,tool,walltime,cputime,max_rss,avg_rss
0.1,diamond_fast,3.0613174058959065,257.1280066322085,172672.31654567746,0.0
0.1,"sourmash,k=11",6.548318639623309,7.519563439890017,5097.765769112463,0.0
0.1,"sourmash,k=15",5.729422794238433,6.964787926214469,5020.137592390333,0.0
0.2,diamond_fast,5.434374737802805,543.3031658470514,192530.68936400188,0.0
0.2,"sourmash,k=11",10.84388634456174,11.281825811128845,10136.002733114974,0.0
0.2,"sourmash,k=15",9.73900476793048,9.683304691844722,7495.229086749594,0.0
0.4,diamond_fast,10.334248452699818,1037.2893156885757,298419.57409137074,0.0
0.4,"sourmash,k=11",15.99957059913378,16.355460869229514,24813.07485490467,0.0
0.4,"sourmash,k=15",15.707175220898323,15.004455938153834,17993.605755696353,0.0
0.8,diamond_fast,20.933160407367676,1958.3384886064478,269144.3958578887,0.0
0.8,"sourmash,k=11",23.98959128089739,24.254512473907585,27942.45033755879,0.0
0.8,"sourmash,k=15",24.239516863649374,24.219793559004927,43302.757915657545,0.0
1.6,diamond_fast,37.882410393805564,3399.599240515004,366677.7311817746,0.0
1.6,"sourmash,k=11",37.58290679902983,37.51338028555918,11669.646131843461,0.0
1.6,"sourmash,k=15",37.424244662915704,37.05043497830534,16089.00262476179,0.0
3.2,diamond_fast,251.45672208958945,16809.668827752976,792999.3473639513,0.0
3.2,"sourmash,k=11",71.96017814112646,71.65629725425728,25523.67073615429,0.0
3.2,"sourmash,k=15",68.48413087373665,68.52100805418658,22378.630533018204,0.0
6.4,diamond_fast,163.25763851958334,12949.950518333893,167877.4148653313,0.0
6.4,"sourmash,k=11",235.9137881203299,235.03789045598586,187322.01096365228,0.0
6.4,"sourmash,k=15",238.48344971988612,239.00770152863274,61042.38990952652,0.0
